version,primary_stage,secondary_stage,classification_status,evidence_scope,causal_status,confidence,failure_pattern,existing_evidence,v25_established,remaining_unknown,alternative_explanation,evidence_source,do_new_experiment,suggested_next_v,priority
V11,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=0, negative=4, observed-small=56, rows=60",A0 rows=75; A1 paired atlas rows=60; dominant structural source=topological/predictive graph; dominant intervention=sample relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V12,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=4, negative=0, observed-small=12, rows=16",A0 rows=48; A1 paired atlas rows=16; dominant structural source=latent topology; dominant intervention=no structural intervention,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V13,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=3, negative=5, observed-small=7, rows=15",A0 rows=30; A1 paired atlas rows=15; dominant structural source=neighbor graph; dominant intervention=no structural intervention,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V14,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=1, negative=2, observed-small=12, rows=15",A0 rows=30; A1 paired atlas rows=15; dominant structural source=neighbor graph; dominant intervention=sample relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V15,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V16,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V16.1,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=2, negative=0, observed-small=22, rows=24",A0 rows=32; A1 paired atlas rows=24; dominant structural source=predictive graph; dominant intervention=sample relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V17,Unidentified,Unidentified,unresolved,No auditable A0 registry rows for this version in the current V25 source set,unidentified,low,no current quantitative evidence,"Historical notes may exist, but no quantitative row is in the audited V25 registry.",V25 does not retroactively reconstruct missing version evidence.,"Opportunity, selection, intervention, representation, and readout behavior remain unknown.",missing source/artifact coverage; absence of a registry row is not a null result,A0/mechanism_evidence_registry.csv (no matching rows); historical notes not used as quantitative proof,No under V25 closure,none; archival gap only,P3
V18,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=171, negative=643, observed-small=524, rows=1338",A0 rows=1490; A1 paired atlas rows=1338; dominant structural source=latent relation/affinity; dominant intervention=affinity/edge,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V19,Intervention,Selection,partially_resolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=1, negative=1, observed-small=74, rows=76",A0 rows=108; A1 paired atlas rows=76; dominant structural source=PCA-kNN/reliability graph; dominant intervention=sample mixing/relation,V25 places this version in the retrospective atlas and preserves its paired outcome pattern without assigning a causal mechanism.,"The relative contributions of opportunity, policy, intervention dose, representation, and readout remain unknown.","protocol, preprocessing, baseline, budget, optimizer, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; archival evidence is closed unless a future claim is independently predeclared,P2
V20,Selection,Intervention,unresolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=0, negative=0, observed-small=0, rows=0",A0 rows=8; A1 paired atlas rows=0; dominant structural source=SVD topology statistics; dominant intervention=feature masking,V25 records feature-coordinate selection/corruption outcomes in the observational atlas; the causal failure stage is not identified.,"Whether the selector damages cluster-defining coordinates, and whether representation or readout converts that damage, remains unknown.","dose, baseline ceiling, objective compatibility, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; future replication would require a separately frozen claim,P2
V21,Selection,Intervention,partially_resolved,V1-V22 quantitative Failure Atlas,matched prospective,moderate,"paired outcome mix: positive=3, negative=14, observed-small=1, rows=18",A0 rows=36; A1 paired atlas rows=18; dominant structural source=SVD-kNN topology statistics; dominant intervention=feature-coordinate assignment corruption,"The matched V21 case study identifies conditional, sign-heterogeneous topology-selection utility (S states: {'Observed-Small': 1, 'Negative': 3, 'Inconclusive': 1, 'Positive': 1}); it does not establish universal topology superiority.",Independent holdout replication and a label-free explanation of the sign remain unknown.,"generic intervention, optimizer/readout effects, and dataset compatibility may contribute to sign heterogeneity",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,gated external replication only; not authorized by V25,P1
V22,Selection,Intervention,unresolved,V1-V22 quantitative Failure Atlas,observational,low,"paired outcome mix: positive=0, negative=0, observed-small=0, rows=0",A0 rows=40; A1 paired atlas rows=0; dominant structural source=topology/discriminator statistics; dominant intervention=feature corruption/keep mask,V25 records feature-coordinate selection/corruption outcomes in the observational atlas; the causal failure stage is not identified.,"Whether the selector damages cluster-defining coordinates, and whether representation or readout converts that damage, remains unknown.","dose, baseline ceiling, objective compatibility, and readout confounding",A0/mechanism_evidence_registry.csv; A1/failure_atlas.csv,No under V25 closure,none; future replication would require a separately frozen claim,P2
V23,Boundary,Representation,closed_no_go,V23 boundary evidence; isolated from V1-V22 atlas,boundary evidence,moderate,dependency-specific response explanation did not pass the conditional null,1 isolated V23 boundary record(s); local kNN/non-positive global rows retained separately,Cycle is a No-Go as a dependency-specific mechanism; this does not test all response utility.,Whether another response estimator or representation could identify a useful signal.,support statistics or generic perturbation response may explain the observed local changes,A0/V23_V24_boundary_evidence.csv; A1/local_global_boundary.csv,No under V25 closure,none; permanently closed for this study,P1
V24,Boundary,Readout,closed_no_go,V24 calibration boundary evidence; not an intervention efficacy result,boundary evidence,high,conditional-response estimator calibration No-Go,1 isolated V24 calibration record(s); weak-alternative power was zero,The frozen V24 estimator/alternative pair was not sufficiently calibrated or powered.,No claim about Cycle efficacy or other response estimators follows from this calibration failure.,"estimator/alternative mismatch and weak-signal power, not necessarily absent utility",A0/V23_V24_boundary_evidence.csv,No under V25 closure,none; calibration rescue is permanently closed,P1
